epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.9027,1.5702,2.27448,1.60705,0.94535,0.46041,0.76029,0.37846,1.49612,2.65671,1.6389,0.000654762,0.000654762,0.000654762
2,132.649,1.6184,1.62966,1.63491,0.843,0.65329,0.75824,0.34226,1.88443,1.76615,2.0789,0.00129526,0.00129526,0.00129526
3,209.586,1.61858,1.38071,1.60667,0.30791,0.36882,0.24679,0.0948,2.21413,2.47051,2.25841,0.00190937,0.00190937,0.00190937
4,272.742,1.6177,1.26748,1.61641,0.58445,0.63118,0.62078,0.30415,1.66732,2.65238,1.76806,0.0018812,0.0018812,0.0018812
5,348.696,1.58526,1.15995,1.59092,0.77718,0.69582,0.80202,0.39282,1.7505,1.21045,1.87069,0.0018416,0.0018416,0.0018416
6,428.116,1.55578,1.07951,1.57075,0.88755,0.84031,0.90453,0.4139,1.79333,1.34393,1.8619,0.001802,0.001802,0.001802
7,503.421,1.52228,1.05201,1.53816,0.5275,0.49049,0.49136,0.22909,2.10316,1.8194,2.20733,0.0017624,0.0017624,0.0017624
8,576.153,1.50471,0.99716,1.53238,0.9201,0.8365,0.95293,0.55574,1.42471,0.91352,1.52181,0.0017228,0.0017228,0.0017228
9,650.348,1.49504,0.9631,1.51848,0.90744,0.84791,0.94605,0.52862,1.52517,0.94544,1.57024,0.0016832,0.0016832,0.0016832
10,725.492,1.47389,0.93507,1.4996,0.91029,0.84884,0.9328,0.52459,1.50341,0.85248,1.55105,0.0016436,0.0016436,0.0016436
11,798.578,1.46587,0.92239,1.49849,0.93594,0.88881,0.9685,0.56342,1.40763,0.83379,1.46459,0.001604,0.001604,0.001604
12,872.657,1.45587,0.90169,1.49126,0.96797,0.97338,0.98767,0.5829,1.385,0.63185,1.44253,0.0015644,0.0015644,0.0015644
13,945.632,1.42298,0.86926,1.45692,0.93928,0.94101,0.9831,0.59565,1.37124,0.67839,1.43827,0.0015248,0.0015248,0.0015248
14,1018.48,1.40142,0.83447,1.44466,0.95249,0.91476,0.96717,0.56953,1.42036,0.69652,1.47585,0.0014852,0.0014852,0.0014852
15,1093.61,1.40964,0.82657,1.44767,0.95582,0.95437,0.98613,0.61326,1.34209,0.62517,1.40146,0.0014456,0.0014456,0.0014456
16,1167.42,1.39847,0.80878,1.44554,0.965,0.94338,0.97953,0.59158,1.32318,0.6413,1.41784,0.001406,0.001406,0.001406
17,1241.32,1.37069,0.79787,1.4294,0.94671,0.94567,0.97865,0.59894,1.33366,0.62547,1.40924,0.0013664,0.0013664,0.0013664
18,1315.47,1.37194,0.77526,1.4181,0.9806,0.96079,0.98754,0.59678,1.37216,0.58154,1.43511,0.0013268,0.0013268,0.0013268
19,1388.65,1.33632,0.76262,1.4138,0.95879,0.95817,0.98534,0.5913,1.42788,0.60134,1.46401,0.0012872,0.0012872,0.0012872
20,1461.31,1.33439,0.75338,1.40212,0.97346,0.98859,0.99091,0.6216,1.30383,0.54582,1.3737,0.0012476,0.0012476,0.0012476
21,1530.78,1.35187,0.76311,1.41965,0.96799,0.98099,0.98975,0.62557,1.31297,0.55146,1.39348,0.001208,0.001208,0.001208
22,1605.94,1.31609,0.72984,1.38417,0.96597,0.96578,0.98698,0.61889,1.35659,0.56884,1.44854,0.0011684,0.0011684,0.0011684
23,1678.66,1.32443,0.74957,1.39186,0.98471,0.97944,0.98893,0.62078,1.3207,0.53766,1.39895,0.0011288,0.0011288,0.0011288
24,1755.38,1.30467,0.73618,1.38153,0.97327,0.96578,0.98794,0.62215,1.33022,0.54299,1.3973,0.0010892,0.0010892,0.0010892
25,1828.54,1.28305,0.7116,1.37077,0.97957,0.9924,0.99269,0.61374,1.33687,0.52639,1.40182,0.0010496,0.0010496,0.0010496
26,1901.57,1.28854,0.71222,1.374,0.97404,0.97719,0.99013,0.63386,1.2921,0.52583,1.35627,0.00101,0.00101,0.00101
27,1978.42,1.25429,0.68034,1.34035,0.98471,0.97944,0.98347,0.62307,1.27612,0.52097,1.34091,0.0009704,0.0009704,0.0009704
28,2051.07,1.24922,0.68215,1.34047,0.98475,0.98221,0.99244,0.64522,1.30326,0.51556,1.36801,0.0009308,0.0009308,0.0009308
29,2123.48,1.22754,0.65729,1.32855,0.99612,0.97507,0.99257,0.63566,1.30844,0.50743,1.39922,0.0008912,0.0008912,0.0008912
30,2197.58,1.24885,0.67277,1.34897,0.98102,0.98262,0.99081,0.63434,1.3018,0.51183,1.38487,0.0008516,0.0008516,0.0008516
31,2272.52,1.23843,0.66791,1.33694,0.98467,0.97689,0.98861,0.62233,1.33876,0.53058,1.41731,0.000812,0.000812,0.000812
32,2347.76,1.23698,0.66857,1.34451,0.9809,0.97619,0.98691,0.62232,1.32149,0.52434,1.40551,0.0007724,0.0007724,0.0007724
33,2427.39,1.21574,0.63065,1.31698,0.98457,0.98099,0.99155,0.63243,1.3121,0.48907,1.37354,0.0007328,0.0007328,0.0007328
34,2502.77,1.19627,0.63713,1.31384,0.98863,0.99142,0.98952,0.6699,1.23744,0.46429,1.34025,0.0006932,0.0006932,0.0006932
35,2580.52,1.19753,0.62372,1.30796,0.99445,0.9924,0.99271,0.63261,1.34393,0.47758,1.40802,0.0006536,0.0006536,0.0006536
36,2655.68,1.18654,0.62849,1.30502,0.98672,0.97719,0.99048,0.65096,1.2602,0.48698,1.34422,0.000614,0.000614,0.000614
37,2733.56,1.17596,0.61581,1.28887,0.98491,0.9924,0.99303,0.65428,1.23927,0.45102,1.32343,0.0005744,0.0005744,0.0005744
38,2808.74,1.1629,0.60379,1.27758,0.992,0.98859,0.99217,0.65901,1.25538,0.46544,1.32084,0.0005348,0.0005348,0.0005348
39,2885.49,1.15058,0.60252,1.27571,0.9952,0.9924,0.9916,0.65278,1.25494,0.45423,1.32743,0.0004952,0.0004952,0.0004952
40,2961.1,1.13873,0.58468,1.27547,0.99485,0.9924,0.99198,0.65513,1.27342,0.45361,1.34239,0.0004556,0.0004556,0.0004556
41,3059.6,1.06806,0.45227,1.23044,0.99581,0.9962,0.99196,0.6523,1.2763,0.45708,1.37002,0.000416,0.000416,0.000416
42,3130.31,1.03814,0.42926,1.21557,0.9962,0.99593,0.99177,0.65701,1.24825,0.45204,1.34833,0.0003764,0.0003764,0.0003764
43,3199.17,1.02345,0.42499,1.20061,0.98954,0.9924,0.99388,0.65793,1.25975,0.4561,1.37004,0.0003368,0.0003368,0.0003368
44,3268.09,0.99923,0.41984,1.19553,0.99186,0.9962,0.99187,0.66119,1.27844,0.45443,1.36188,0.0002972,0.0002972,0.0002972
45,3339.16,1.00313,0.41536,1.20181,0.99238,0.9962,0.99172,0.66092,1.23101,0.43623,1.33624,0.0002576,0.0002576,0.0002576
46,3408.32,0.97155,0.40124,1.17268,0.99556,0.9962,0.99253,0.67144,1.24708,0.43894,1.34542,0.000218,0.000218,0.000218
47,3477.08,0.96509,0.39504,1.16563,0.99553,0.9962,0.99253,0.67249,1.24792,0.43797,1.34542,0.0001784,0.0001784,0.0001784
48,3547.81,0.94473,0.38864,1.15501,0.99619,0.9962,0.99302,0.67061,1.27382,0.43608,1.37699,0.0001388,0.0001388,0.0001388
49,3617.12,0.92904,0.38619,1.15762,0.9962,0.9955,0.99241,0.66578,1.28449,0.43525,1.39011,9.92e-05,9.92e-05,9.92e-05
50,3685.93,0.92495,0.3797,1.14445,0.99525,0.9924,0.99229,0.67289,1.24737,0.42471,1.35354,5.96e-05,5.96e-05,5.96e-05
