epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,510.528,1.6849,2.92324,1.70744,0.12846,0.30038,0.08462,0.02947,2.25382,11.1128,2.67099,0.000654762,0.000654762,0.000654762
2,974.944,1.72335,1.40087,1.74439,0.1241,0.1239,0.03592,0.01109,3.49012,3.64983,4.19034,0.00129526,0.00129526,0.00129526
3,1432.41,1.70359,1.25798,1.72674,0.01584,0.19011,0.00686,0.00207,3.35148,13.3191,4.69951,0.00190937,0.00190937,0.00190937
4,1887.99,1.6943,1.26333,1.72584,0.57383,0.68441,0.523,0.18367,2.24749,3.03761,2.43318,0.0018812,0.0018812,0.0018812
5,2343.16,1.65707,1.17364,1.67133,0.75662,0.68441,0.76919,0.31363,1.98916,2.26797,2.09788,0.0018416,0.0018416,0.0018416
6,2801.59,1.592,1.10962,1.62404,0.86667,0.7909,0.87843,0.4426,1.6691,2.14807,1.7578,0.001802,0.001802,0.001802
7,3259.07,1.56299,1.06312,1.59498,0.8824,0.87072,0.90618,0.44235,1.60997,1.22337,1.72686,0.0017624,0.0017624,0.0017624
8,3728.89,1.53176,1.02955,1.58479,0.91156,0.80989,0.87748,0.40719,1.85248,1.10496,1.99677,0.0017228,0.0017228,0.0017228
9,4200.21,1.55265,0.99179,1.59749,0.93662,0.899,0.96376,0.55064,1.48448,0.80441,1.5614,0.0016832,0.0016832,0.0016832
10,4673.18,1.49442,0.95142,1.54517,0.89178,0.8251,0.92455,0.48537,1.64206,1.05443,1.70689,0.0016436,0.0016436,0.0016436
11,5147.21,1.50129,0.9433,1.55526,0.90565,0.88973,0.94817,0.52783,1.4875,0.91494,1.59895,0.001604,0.001604,0.001604
12,5617.69,1.48643,0.94225,1.53695,0.94509,0.90114,0.9718,0.56867,1.44218,0.77164,1.54997,0.0015644,0.0015644,0.0015644
